x,T_lining
1.007,677.209
17.65,677.526
34.306,676.997
52.467,676.996
69.873,676.89
85.02,676.043
102.422,676.149
116.792,676.677
133.438,676.783
148.589,675.618
165.24,675.406
182.644,675.406
200.058,674.771
216.706,674.77
233.365,674.029
250.767,674.135
268.928,674.134
287.086,674.345
305.241,674.768
322.642,674.979
339.284,675.296
355.183,674.767
372.578,675.401
387.726,674.449
398.349,672.544
411.235,671.063
425.632,669.793
439.275,668.311
456.681,668.205
471.068,667.57
482.428,666.935
497.575,666.088
510.438,666.194
527.842,666.193
540.725,664.923
555.104,664.817
569.474,665.346
585.356,665.874
601.249,665.768
