x,T_shell
0.782,358.617
16.644,357.774
34.025,357.352
52.174,357.772
70.313,357.56
88.458,357.664
106.604,357.873
124.003,358.714
139.129,359.134
157.273,359.237
174.657,359.026
192.806,359.445
210.187,359.023
227.572,358.917
244.956,358.705
263.103,359.02
280.501,359.755
297.14,360.28
313.029,361.226
330.419,361.435
345.541,361.644
361.435,362.906
377.318,363.431
391.664,362.272
402.981,360.799
418.847,360.166
433.961,359.85
451.348,359.848
469.491,359.847
485.367,359.951
501.233,359.319
517.098,358.686
533.726,358.475
551.118,358.789
568.508,358.998
585.893,358.892
